FECHA_REGISTRO;ANIO_REGISTRO;CLASE;DEPARTAMENTO;CANTIDAD 
28/09/2015;2015;MOTOCICLETA;Caqueta;1
25/10/2021;2021;CAMIONETA;Cundinamarca;1
31/10/2019;2019;AUTOMOVIL;Bogota D.C.;1
27/08/2021;2021;AUTOMOVIL;Antioquia;1
10/06/2020;2020;CAMIONETA;Antioquia;1
14/03/2014;2014;MOTOCICLETA;Bogota D.C.;1
11/06/2021;2021;MOTOTRICICLO;Cundinamarca;1
22/12/2021;2021;CAMIONETA;Bogota D.C.;1
23/06/2021;2021;AUTOMOVIL;Antioquia;1
14/03/2022;2022;BUS;Bogota D.C.;1
23/12/2016;2016;AUTOMOVIL;Antioquia;1
18/03/2021;2021;AUTOMOVIL;Norte de Santander;1
17/09/2021;2021;AUTOMOVIL;Antioquia;1
15/03/2022;2022;AUTOMOVIL;Cundinamarca;1
10/11/2016;2016;MOTOCARRO;Cundinamarca;1
11/10/2016;2016;MOTOCARRO;Cundinamarca;1
22/01/2013;2013;MOTOCICLETA;Antioquia;1
5/09/2018;2018;CUADRICICLO;Bogota D.C.;1
29/10/2021;2021;CUADRICICLO;Bogota D.C.;1
10/03/2022;2022;CAMIONETA;Bogota D.C.;1
14/01/2020;2020;CUADRICICLO;Bogota D.C.;1
30/05/2019;2019;CUADRICICLO;Antioquia;1
12/03/2022;2022;BUS;Bogota D.C.;1
10/12/2019;2019;AUTOMOVIL;Bogota D.C.;1
31/01/2019;2019;AUTOMOVIL;Bogota D.C.;1
21/05/2021;2021;MOTOCICLETA;Atlantico;1
3/12/2020;2020;CAMIONETA;Quindio;1
12/07/2021;2021;AUTOMOVIL;Bogota D.C.;1
3/10/2018;2018;CAMIONETA;Antioquia;1
16/03/2022;2022;BUS;Bogota D.C.;1
20/09/2019;2019;AUTOMOVIL;Antioquia;1
4/03/2021;2021;AUTOMOVIL;Bogota D.C.;1
27/12/2018;2018;AUTOMOVIL;Antioquia;1
16/03/2012;2012;MOTOCICLETA;Santander;1
26/12/2019;2019;AUTOMOVIL;Bogota D.C.;1
15/02/2018;2018;CUADRICICLO;Valle del Cauca;1
10/12/2020;2020;CAMION;Antioquia;1
6/08/2015;2015;CAMIONETA;Valle del Cauca;1
28/08/2021;2021;AUTOMOVIL;Bogota D.C.;1
14/07/2014;2014;MOTOCICLETA;Antioquia;1
30/08/2013;2013;MOTOCICLETA;Antioquia;1
19/12/2019;2019;CAMION;Antioquia;1
13/05/2021;2021;CUADRICICLO;Bogota D.C.;1
21/07/2021;2021;AUTOMOVIL;Bolivar;1
26/01/2022;2022;BUS;Bogota D.C.;1
15/02/2012;2012;MOTOCICLETA;Antioquia;1
7/07/2014;2014;MOTOCICLETA;Bogota D.C.;1
3/11/2017;2017;AUTOMOVIL;Antioquia;1
27/08/2013;2013;MOTOCICLETA;Antioquia;1
28/02/2019;2019;CAMIONETA;Antioquia;1
24/08/2015;2015;MOTOCICLETA;Huila;1
15/01/2022;2022;CAMIONETA;Bogota D.C.;1
26/04/2019;2019;AUTOMOVIL;Bogota D.C.;1
